GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
io.memoria.reactive.nats,io.memoria.reactive.nats.eventsourcing,TopicConfig,52,156,10,12,7,22,7,15,2,9
io.memoria.reactive.nats,io.memoria.reactive.nats.eventsourcing,NatsUtils.new ErrorListener() {...},5,3,0,0,2,1,1,1,1,1
io.memoria.reactive.nats,io.memoria.reactive.nats.eventsourcing,NatsESMsgStream,0,6,0,0,0,1,0,1,0,1
io.memoria.reactive.nats,io.memoria.reactive.nats.eventsourcing,NatsUtils,5,160,1,1,1,36,1,9,0,9
io.memoria.reactive.nats,io.memoria.reactive.nats.eventsourcing,NatsConfig,1,34,2,2,0,4,2,4,0,4
io.memoria.reactive.nats,io.memoria.reactive.nats.eventsourcing,DefaultNatsESMsgStream,0,96,0,0,0,19,0,10,0,10
